[2026-02-19T20:45:30.059+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533865.json to Snowflake stage
[2026-02-19T20:45:30.423+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533873.json to Snowflake stage
[2026-02-19T20:45:30.770+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533881.json to Snowflake stage
[2026-02-19T20:45:31.087+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533889.json to Snowflake stage
[2026-02-19T20:45:31.453+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533897.json to Snowflake stage
[2026-02-19T20:45:31.783+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533417.json to Snowflake stage
[2026-02-19T20:45:32.098+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533425.json to Snowflake stage
[2026-02-19T20:45:32.577+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533433.json to Snowflake stage
[2026-02-19T20:45:32.911+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533441.json to Snowflake stage
[2026-02-19T20:45:33.245+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533449.json to Snowflake stage
[2026-02-19T20:45:33.823+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533457.json to Snowflake stage
[2026-02-19T20:45:34.428+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533465.json to Snowflake stage
[2026-02-19T20:45:34.756+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533473.json to Snowflake stage
[2026-02-19T20:45:35.103+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533481.json to Snowflake stage
[2026-02-19T20:45:35.460+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533489.json to Snowflake stage
[2026-02-19T20:45:35.786+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533497.json to Snowflake stage
[2026-02-19T20:45:36.127+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533505.json to Snowflake stage
[2026-02-19T20:45:36.485+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533513.json to Snowflake stage
[2026-02-19T20:45:36.826+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533520.json to Snowflake stage
[2026-02-19T20:45:37.152+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533529.json to Snowflake stage
[2026-02-19T20:45:37.486+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533536.json to Snowflake stage
[2026-02-19T20:45:37.844+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533545.json to Snowflake stage
[2026-02-19T20:45:38.558+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533552.json to Snowflake stage
[2026-02-19T20:45:38.897+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533560.json to Snowflake stage
[2026-02-19T20:45:39.213+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533568.json to Snowflake stage
[2026-02-19T20:45:39.510+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533576.json to Snowflake stage
[2026-02-19T20:45:39.857+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533584.json to Snowflake stage
[2026-02-19T20:45:40.209+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533592.json to Snowflake stage
[2026-02-19T20:45:40.572+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533600.json to Snowflake stage
[2026-02-19T20:45:41.034+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533608.json to Snowflake stage
[2026-02-19T20:45:41.379+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533617.json to Snowflake stage
[2026-02-19T20:45:41.746+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533624.json to Snowflake stage
[2026-02-19T20:45:42.105+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533632.json to Snowflake stage
[2026-02-19T20:45:42.462+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533640.json to Snowflake stage
[2026-02-19T20:45:43.445+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533648.json to Snowflake stage
[2026-02-19T20:45:43.797+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533656.json to Snowflake stage
[2026-02-19T20:45:44.141+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533665.json to Snowflake stage
[2026-02-19T20:45:44.485+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533672.json to Snowflake stage
[2026-02-19T20:45:45.208+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533680.json to Snowflake stage
[2026-02-19T20:45:45.772+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533688.json to Snowflake stage
[2026-02-19T20:45:46.164+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533696.json to Snowflake stage
[2026-02-19T20:45:46.506+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533704.json to Snowflake stage
[2026-02-19T20:45:46.829+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533712.json to Snowflake stage
[2026-02-19T20:45:47.196+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533720.json to Snowflake stage
[2026-02-19T20:45:47.717+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533728.json to Snowflake stage
[2026-02-19T20:45:48.111+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533736.json to Snowflake stage
[2026-02-19T20:45:48.467+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533745.json to Snowflake stage
[2026-02-19T20:45:48.813+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533753.json to Snowflake stage
[2026-02-19T20:45:49.137+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533761.json to Snowflake stage
[2026-02-19T20:45:49.492+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533770.json to Snowflake stage
[2026-02-19T20:45:49.849+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533778.json to Snowflake stage
[2026-02-19T20:45:50.188+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533786.json to Snowflake stage
[2026-02-19T20:45:50.516+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533794.json to Snowflake stage
[2026-02-19T20:45:50.855+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533803.json to Snowflake stage
[2026-02-19T20:45:51.209+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533811.json to Snowflake stage
[2026-02-19T20:45:51.594+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533819.json to Snowflake stage
[2026-02-19T20:45:51.946+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533827.json to Snowflake stage
[2026-02-19T20:45:52.281+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533835.json to Snowflake stage
[2026-02-19T20:45:52.657+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533843.json to Snowflake stage
[2026-02-19T20:45:53.018+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533851.json to Snowflake stage
[2026-02-19T20:45:53.400+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533859.json to Snowflake stage
[2026-02-19T20:45:53.756+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533867.json to Snowflake stage
[2026-02-19T20:45:54.122+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533874.json to Snowflake stage
[2026-02-19T20:45:54.483+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533882.json to Snowflake stage
[2026-02-19T20:45:54.812+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533890.json to Snowflake stage
[2026-02-19T20:45:55.134+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533898.json to Snowflake stage
[2026-02-19T20:45:55.413+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533417.json to Snowflake stage
[2026-02-19T20:45:55.702+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533425.json to Snowflake stage
[2026-02-19T20:45:56.254+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533433.json to Snowflake stage
[2026-02-19T20:45:56.552+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533441.json to Snowflake stage
[2026-02-19T20:45:56.805+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533449.json to Snowflake stage
[2026-02-19T20:45:57.144+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533456.json to Snowflake stage
[2026-02-19T20:45:57.483+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533464.json to Snowflake stage
[2026-02-19T20:45:57.805+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533472.json to Snowflake stage
[2026-02-19T20:45:58.143+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533480.json to Snowflake stage
[2026-02-19T20:45:58.502+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533488.json to Snowflake stage
